,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,"Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training",Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary
,0.14596860,0.13087330,0.14332440,0.13731550,0.15625780,0.16174820,0.14483190,0.13541090,,0.12385880,0.13730380,0.15886830,0.12725680,0.13319360,0.14694300,0.12165410,0.16151910,0.12794770,0.16602490,0.15386640,0.17311740,0.16196770,0.19045490,0.18402470,0.17789430,0.19177470,0.18726770
Cingulate_Cortex_Area_24a,0.19975680,0.18548100,0.16194060,0.19549670,0.16432890,0.13729550,0.16687260,0.16417970,,0.13001140,0.16781970,0.15227720,0.17350870,0.09308205,0.17348960,0.14527980,0.16013110,0.16730310,0.18765630,0.20802380,0.19388410,0.18056360,0.21171640,0.19919790,0.19465420,0.17397140,0.20127500
Cingulate_Cortex_Area_24a_prime,0.21623250,0.18728450,0.17009850,0.20787850,0.14622840,0.17454950,0.14431740,0.16228020,,0.13442920,0.18693670,0.15214470,0.18807940,0.11082990,0.19049960,0.12596070,0.18675080,0.16133060,0.19061530,0.17984240,0.18841420,0.17562690,0.21198160,0.19246730,0.19392490,0.18967440,0.20690880
Cingulate_Cortex_Area_24b,0.17038510,0.15665100,0.15140760,0.14896140,0.13665220,0.13501420,0.12100960,0.12947500,,0.11949190,0.14653180,0.11579880,0.15547010,0.09234918,0.14375150,0.11774710,0.14743380,0.11736690,0.13090060,0.14151990,0.14790140,0.13778490,0.15325600,0.14045100,0.14054270,0.13477670,0.14604970
Cingulate_Cortex_Area_24b_prime,0.15850340,0.14036940,0.13480340,0.15515810,0.13092350,0.15661470,0.12816220,0.12524770,,0.12124340,0.15766760,0.13742730,0.14844960,0.11240260,0.14236930,0.11213570,0.14988320,0.12496660,0.13258310,0.12961770,0.14572100,0.12114130,0.16092600,0.13921930,0.14830170,0.14719060,0.15312320
Cingulate_Cortex_Area_29a,0.22290700,0.20978980,0.16731650,0.18659330,0.16654270,0.15144380,0.16565400,0.17474160,,0.14973290,0.21326270,0.18199330,0.19846810,0.14237700,0.16750980,0.15186450,0.18295830,0.16512720,0.17010020,0.19222520,0.17734630,0.16178200,0.19118670,0.18329370,0.18113610,0.16607640,0.17378620
Cingulate_Cortex_Area_29b,0.18030960,0.17110970,0.15062100,0.13006720,0.13326120,0.14391920,0.12365640,0.11833260,,0.11122030,0.14703420,0.13571610,0.17059820,0.11115920,0.14160210,0.09611069,0.16036510,0.11158640,0.14945420,0.15542260,0.12278650,0.15464070,0.18477050,0.15831980,0.17343510,0.16160850,0.15113090
Cingulate_Cortex_Area_29c,0.24609050,0.23631370,0.20401980,0.22467490,0.18511090,0.21537240,0.17993850,0.19376670,,0.17375120,0.20933360,0.18909510,0.22358430,0.13501450,0.20741940,0.15398110,0.22849700,0.15810150,0.20321420,0.20563970,0.22671540,0.19824190,0.22435790,0.21960960,0.22157730,0.21137180,0.21394120
Cingulate_Cortex_Area_30,0.17710240,0.17510990,0.15777720,0.15299570,0.15397720,0.15313770,0.14393900,0.14071180,,0.13616320,0.16058410,0.15462340,0.17579110,0.11323520,0.14888390,0.11710020,0.16334390,0.12605080,0.15558070,0.15754670,0.14649060,0.14656600,0.16594490,0.15924830,0.16241610,0.15532640,0.15664710
Cingulate_Cortex_Area_32,0.15014890,0.15004690,0.14052140,0.12439840,0.13333490,0.12327050,0.13328060,0.13019870,,0.12333550,0.14622430,0.11072540,0.13455980,0.11403330,0.13172310,0.12405380,0.13370560,0.11729490,0.13534480,0.15222600,0.12836760,0.13301530,0.13681320,0.15722910,0.14484960,0.13622830,0.14854450
Primary_Auditory_Cortex,0.12879280,0.12908660,0.11650740,0.14945960,0.13411790,0.13939650,0.10361210,0.11096390,,0.11725090,0.11354100,0.13539460,0.12006230,0.10241180,0.12171100,0.11149800,0.13279020,0.10215530,0.12421210,0.12203530,0.12615220,0.11952800,0.13218410,0.13775760,0.12321840,0.11737140,0.12885020
Secondary_Auditory_Cortex_Dorsal_Part,0.13010930,0.11899360,0.10335090,0.13816030,0.13389060,0.13231290,0.10455790,0.09724717,,0.13546720,0.09513754,0.13401010,0.12494380,0.11806020,0.10169910,0.10651440,0.11780780,0.09455712,0.11752530,0.12191280,0.11052590,0.10793140,0.12770070,0.12124560,0.11425980,0.11657120,0.11477800
Secondary_Auditory_Cortex_Ventral_Part,0.14284080,0.13075010,0.12258860,0.14976430,0.13413330,0.14488330,0.10957170,0.12301650,,0.11337250,0.10867510,0.11553340,0.12510640,0.10507990,0.12770860,0.12106580,0.13739230,0.10708550,0.12660120,0.13134310,0.13231880,0.11446920,0.14227630,0.13616250,0.13052650,0.12836630,0.14635840
Dorsolateral_Orbital_Cortex,0.15266260,0.17731530,0.14760750,0.14665200,0.12851600,0.11938980,0.12963860,0.11493190,,0.14097390,0.15328070,0.11535080,0.14712450,0.11225010,0.14087920,0.12086160,0.16189350,0.11992540,0.13162740,0.15552700,0.12924860,0.12037270,0.15508370,0.15862720,0.12963550,0.13224220,0.13437460
Frontal_Cortex_Area_3,0.15621930,0.15670120,0.12956730,0.11391640,0.11334400,0.12638180,0.09194961,0.10073070,,0.09581450,0.11003590,0.08664781,0.12740300,0.07794254,0.10955260,0.08723655,0.13505290,0.08347060,0.11438450,0.10461700,0.10982460,0.11167490,0.12276300,0.11998700,0.11467230,0.11566730,0.11341310
Frontal_Association_Cortex,0.16246620,0.15955250,0.14664780,0.14172670,0.13342730,0.13623010,0.13153840,0.11786050,,0.13229240,0.14458420,0.11559800,0.14822010,0.11699200,0.13447480,0.11934410,0.15089370,0.12128810,0.14287670,0.14479110,0.13091790,0.13466480,0.15682970,0.15146970,0.14690680,0.14392590,0.15422590
Insular_Cortex,0.18210520,0.17878290,0.15600360,0.14134640,0.13588890,0.13604790,0.11742990,0.12996910,,0.11601840,0.14157180,0.11105040,0.15204460,0.08171000,0.14068170,0.11246440,0.14973580,0.11941370,0.13562810,0.14856480,0.14170180,0.13175720,0.16843980,0.15215580,0.14427470,0.14021070,0.14168230
Lateral_Orbital_Cortex,0.17302490,0.17534510,0.16141980,0.15564980,0.13402560,0.13726650,0.14313030,0.12497680,,0.14426800,0.16147830,0.12759430,0.15624340,0.10986290,0.15302290,0.12828480,0.16029220,0.13569220,0.15807970,0.15971010,0.14952180,0.14029700,0.17958000,0.16303320,0.15147340,0.16461140,0.16185040
Lateral_Parietal_Association_Cortex,0.08464929,0.07981949,0.08843591,0.11120490,0.07617608,0.07307725,0.07322462,0.08151125,,0.08452252,0.08675021,0.07089962,0.08216647,0.09281151,0.09051460,0.08695408,0.08884234,0.10537800,0.10011450,0.09007961,0.09428087,0.09632646,0.09733794,0.09698803,0.08302269,0.08870222,0.10487720
Primary_Motor_Cortex,0.15908190,0.15326170,0.14883180,0.13673590,0.12560530,0.11900130,0.13018510,0.12567780,,0.13552920,0.14169150,0.11988770,0.15549010,0.13652770,0.13548370,0.12019340,0.12311030,0.14588150,0.14967880,0.13405510,0.14393660,0.14783870,0.15933270,0.15063530,0.15306210,0.16025130,0.16580970
Secondary_Motor_Cortex,0.15991650,0.15401850,0.16288290,0.14457700,0.13743940,0.13173860,0.14741420,0.13389720,,0.13996520,0.14932110,0.12874940,0.15450680,0.13179100,0.14624340,0.12603390,0.13736940,0.13437450,0.14851490,0.14586550,0.14198560,0.14785880,0.15948030,0.15514210,0.15613960,0.15239650,0.16101630
Medial_Orbital_Cortex,0.15329000,0.15478250,0.14558850,0.13888380,0.12928830,0.13394150,0.14329700,0.12647040,,0.13687430,0.14580560,0.11756910,0.14470130,0.12660900,0.13751070,0.13041830,0.13261940,0.13145890,0.15816320,0.14612640,0.13764450,0.14308120,0.14601550,0.16389290,0.15328440,0.14813160,0.15559930
Medial_Parietal_Association_Cortex,0.13535800,0.13767960,0.14503160,0.15774830,0.13345140,0.09958707,0.12753240,0.12945050,,0.12428410,0.13259340,0.12702430,0.13499270,0.12718500,0.13969310,0.11098000,0.11499490,0.12553500,0.13312460,0.12135420,0.14421140,0.13919120,0.11948700,0.13822540,0.11821650,0.11529070,0.14612250
Parietal_Cortex_Posterior_Area_Rostral_Part,0.08712420,0.07186039,0.07665586,0.10087390,0.07700095,0.08103402,0.07455585,0.07589110,,0.08676795,0.08216102,0.06140800,0.06860233,0.09194981,0.07922150,0.08063065,0.08171214,0.08827272,0.08809601,0.08447494,0.07034200,0.07474124,0.08613570,0.09039725,0.08198701,0.08405025,0.09405269
Primary_Somatosensory_Cortex,0.12747590,0.14475830,0.10982270,0.11556990,0.16076150,0.15072910,0.14222960,0.09427696,,0.15399970,0.09092811,0.13303080,0.11891050,0.13929830,0.09578621,0.13474790,0.12685950,0.12208860,0.11071810,0.12324070,0.11056490,0.11719690,0.12667680,0.11474670,0.12144550,0.11947900,0.10857750
Primary_Somatosensory_Cortex_Barrel_Field,0.15586710,0.15498500,0.14913330,0.14304870,0.12813150,0.13686570,0.12671800,0.12675790,,0.13120570,0.12301450,0.11339270,0.14534450,0.12965210,0.12394740,0.11662060,0.11637300,0.13457260,0.13690220,0.13093180,0.13246910,0.13627480,0.14056110,0.13545030,0.13499920,0.11783090,0.13394770
Primary_Somatosensory_Cortex_Dysgranular_Zone,0.14885530,0.13634510,0.14134450,0.14200430,0.11690980,0.12334140,0.12717630,0.11758060,,0.13965570,0.12309100,0.11197160,0.13840210,0.13348530,0.12551210,0.12242690,0.10479680,0.12848110,0.14160550,0.13355170,0.13508630,0.13700330,0.14142590,0.13088690,0.13707510,0.13001060,0.14123520
Primary_Somatosensory_CortexForelimb_Region,0.14215010,0.13506040,0.14689900,0.14751170,0.12226250,0.11805310,0.11865270,0.11901630,,0.13562410,0.13516950,0.11409240,0.14157710,0.13370630,0.12696580,0.11950010,0.11051460,0.13837700,0.14043540,0.13867970,0.13542000,0.13704400,0.14797680,0.13522920,0.14021140,0.14306130,0.14892060
Primary_Somatosensory_Cortex_Hindlimb_Region,0.12075990,0.13268070,0.13051390,0.13080550,0.10981870,0.11346120,0.12030730,0.11591570,,0.13271140,0.11433400,0.10568040,0.12990030,0.13832260,0.11007930,0.11956040,0.09864468,0.14400980,0.13908310,0.13529310,0.13206900,0.13888000,0.14760800,0.13583430,0.13752360,0.14056760,0.14524010
Primary_Somatosensory_Cortex_Jaw_Region,0.15612700,0.15486710,0.13482680,0.12616560,0.11402360,0.12243210,0.10157020,0.10683910,,0.09558719,0.11136090,0.09313219,0.13650980,0.08196145,0.11375960,0.10247570,0.12717580,0.09865653,0.11907200,0.10486150,0.10758990,0.11219370,0.12555430,0.11977020,0.11380890,0.11586100,0.11719700
Primary_Somatosensory_Cortex_Shoulder_Region,0.10373420,0.11290690,0.11649840,0.11566150,0.11905710,0.11011570,0.13663690,0.09596021,,0.11754970,0.08937832,0.08775108,0.10737700,0.12194590,0.09759104,0.12731430,0.08725839,0.11320950,0.11844470,0.11729870,0.10008810,0.11116380,0.10773160,0.10485840,0.11090660,0.10918220,0.10648590
Primary_Somatosensory_Cortex_Trunk_Region,0.08390196,0.09430146,0.08793528,0.10983610,0.09150635,0.08071356,0.09480076,0.08793158,,0.09658173,0.09051834,0.08093786,0.08634295,0.10104570,0.08531267,0.10001660,0.08508790,0.10765170,0.10710390,0.11174260,0.09764670,0.09807081,0.09537388,0.09868217,0.10038870,0.09211979,0.09797037
