,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,"Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training",Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary
,34.54020000,32.01731000,34.43477000,37.85269000,40.76030000,35.82279000,34.71726000,37.74899000,,31.67833000,35.78178000,36.35332000,29.37788000,33.40961000,34.12568000,33.84328000,42.99997000,32.48169000,38.92915000,33.43130000,39.93544000,37.04313000,39.43826000,38.87593000,42.77781000,40.95003000,44.46281000
Cingulate_Cortex_Area_24a,0.95836160,0.87124620,1.03882500,0.96419360,1.10306800,0.96993450,0.94706210,1.01239900,,0.93949880,0.87416210,0.90222870,0.96592500,0.92683240,0.81711790,0.89174930,1.06625400,0.90049730,0.94287040,0.92136490,0.92819930,0.96720080,0.88892440,0.95544560,1.00820700,0.94250590,1.06935200
Cingulate_Cortex_Area_24a_prime,0.33725360,0.36249530,0.39338660,0.35875910,0.40851340,0.32322040,0.32850560,0.37069650,,0.37215450,0.35976150,0.29369590,0.43129460,0.38673450,0.29679410,0.32322040,0.39821620,0.35921480,0.37953560,0.35803010,0.37671080,0.36413550,0.38254280,0.44250300,0.48587850,0.41060930,0.43229700
Cingulate_Cortex_Area_24b,0.72626630,0.78640880,0.83780330,0.67514510,0.71751830,0.72799770,0.59377050,0.87935630,,0.63222530,0.64634970,0.57499880,0.73875040,0.67596520,0.85092530,0.61782750,0.94660650,0.59623090,0.78914250,0.72271240,0.72571950,0.70785900,0.72006980,0.80372250,0.81538650,0.76627020,0.79615910
Cingulate_Cortex_Area_24b_prime,0.32495180,0.27401290,0.26799860,0.23956760,0.27346610,0.24585530,0.21058990,0.29333140,,0.29506280,0.25979740,0.23810960,0.25314520,0.30226160,0.30408410,0.23820080,0.38864810,0.24567300,0.28048280,0.26253110,0.27383060,0.24631090,0.24858900,0.28239640,0.27428630,0.28066500,0.28777270
Cingulate_Cortex_Area_29a,0.30226160,0.29424260,0.31091850,0.27920700,0.28822840,0.27264600,0.26772530,0.31401680,,0.29205560,0.27547090,0.23865640,0.31164750,0.28522120,0.28348990,0.26672290,0.29524500,0.24184580,0.29551840,0.26499150,0.25970630,0.27537970,0.26772530,0.27702000,0.27246380,0.27784010,0.27610880
Cingulate_Cortex_Area_29b,0.20913190,0.23209540,0.20730940,0.22152490,0.20867620,0.16602980,0.18498380,0.22890600,,0.21724200,0.20530460,0.17432210,0.20512240,0.20238860,0.19856140,0.16703210,0.18589500,0.19391400,0.21068100,0.18817310,0.15892200,0.17304640,0.16402500,0.19446070,0.17559790,0.17413990,0.17568900
Cingulate_Cortex_Area_29c,0.67550960,0.69100090,0.73938830,0.63149630,0.75615530,0.77948330,0.63186080,0.77984780,,0.69564830,0.64215790,0.58894090,0.68462220,0.73410300,0.66849300,0.64206680,0.75688430,0.61682520,0.71423770,0.67505400,0.63022050,0.72043420,0.71779160,0.76289850,0.75989140,0.72407930,0.68881390
Cingulate_Cortex_Area_30,1.42282600,1.60197800,1.58976700,1.48652200,1.96565700,1.82887900,1.57992500,1.81885500,,1.82304700,1.63952100,1.67360200,1.40961300,1.72408500,1.62038500,1.78094700,1.63651400,1.52023800,1.53235800,1.55924000,1.52853100,1.60607800,1.38774300,1.65756400,1.44907000,1.48415300,1.54128800
Cingulate_Cortex_Area_32,1.03381300,1.01713700,1.12439100,1.10698700,1.18653900,1.20631300,0.92455430,1.25132900,,1.18289400,0.96328240,1.13878900,1.03882500,1.25260400,0.91890450,1.04529500,1.16621800,0.97093690,1.04247000,1.02834600,1.11919700,1.17478400,1.01403900,1.14143200,1.11746600,1.04374600,1.15719600
Primary_Auditory_Cortex,0.61636950,0.60743930,0.58730070,0.67851670,0.74358000,0.66767290,0.60124280,0.61609610,,0.70685670,0.64562060,0.86012890,0.57317630,0.69810870,0.56342590,0.72216560,0.61245110,0.62712230,0.61691620,0.68134160,0.71268860,0.66020070,0.57436090,0.67086230,0.63678150,0.65145270,0.73282720
Secondary_Auditory_Cortex_Dorsal_Part,0.68744700,0.68070380,0.66029180,0.79971300,0.88181660,0.83634530,0.74977650,0.75706650,,0.97485530,0.75952690,1.06689200,0.68361980,0.93430470,0.68553340,0.91298140,0.70166250,0.81429300,0.69637730,0.81110360,0.74567590,0.75187240,0.66539480,0.76481220,0.72417040,0.67086230,0.70867910
Secondary_Auditory_Cortex_Ventral_Part,0.66803740,0.65455090,0.64498280,0.66931310,0.81101250,0.73720130,0.65947160,0.76690800,,0.75251020,0.67186460,0.81055690,0.62721340,0.71815620,0.67314040,0.75342150,0.72845330,0.71195970,0.67787890,0.74348890,0.78604430,0.75779550,0.65300180,0.79880180,0.73437640,0.68407540,0.80800540
Dorsolateral_Orbital_Cortex,0.26225780,0.27656440,0.27802240,0.31383450,0.32030440,0.34135430,0.28294310,0.28704380,,0.30171490,0.30116810,0.32996360,0.28458340,0.32376710,0.25369200,0.34709510,0.29524500,0.32640980,0.31675050,0.31438130,0.33269740,0.33069260,0.30772910,0.31693280,0.31128300,0.30709130,0.34700400
Frontal_Cortex_Area_3,0.44578350,0.45854100,0.45535170,0.46601330,0.58092190,0.63104060,0.47512580,0.51139350,,0.58256210,0.47348550,0.56488390,0.47066060,0.62338610,0.41079150,0.54602100,0.48633410,0.50556150,0.55358440,0.49699580,0.50455920,0.59586640,0.46072800,0.53900440,0.53262560,0.48788330,0.56852890
Frontal_Association_Cortex,3.79845500,3.85750400,3.80720300,4.35012500,3.70960800,4.54513300,3.46238600,3.86625200,,3.72619200,3.61365300,4.11547900,3.80492400,4.05342200,3.29790500,3.93177100,3.91910400,3.70268200,4.00868000,3.60991700,3.93249900,4.15493600,3.68792000,3.88894200,4.04048300,3.74569300,4.23457900
Insular_Cortex,2.87918600,2.87380900,2.83344100,3.30656200,3.91746400,3.64955600,3.61483800,3.48206900,,3.46101900,3.30209700,3.68072100,2.86223600,3.47304700,3.11128100,3.74815400,3.50038500,3.56964000,3.03291300,3.30993300,3.28779000,3.16212900,2.79152300,3.25298000,3.10845600,3.04958900,3.31859000
Lateral_Orbital_Cortex,1.35029000,1.28167300,1.24959700,1.47950600,1.49189900,1.57956100,1.39011200,1.54356600,,1.58101900,1.39065900,1.66740500,1.30819100,1.60179500,1.15956600,1.56160900,1.47576900,1.45654200,1.40378100,1.50975900,1.51531800,1.57099500,1.36623700,1.45945800,1.57008400,1.39567100,1.57974300
Lateral_Parietal_Association_Cortex,0.08246813,0.08019000,0.08893801,0.09969075,0.12465900,0.10014640,0.09531675,0.10442930,,0.11463530,0.08893801,0.10798310,0.08055450,0.12064950,0.07827638,0.10798310,0.09650138,0.09513450,0.08574863,0.08711550,0.09112500,0.09586351,0.08319712,0.08237700,0.09303863,0.08228588,0.08064563
